Year,Month,Day,"Installed
Capacity (MW)","Available
Capacity (MW)","Peak
Demand (MW)",Reserve (MW),"Reserve
Margin (%)","Peak
Demand Date"
2019,12,31,125338,97035,76223,20812,27.3,2019/12/31(10:00)
2019,12,30,124854,93749,75158,18591,24.7,2019/12/30(10:00)
2019,12,29,124854,94005,62540,31465,50.3,2019/12/29(19:00)
2019,12,28,124854,93308,65014,28294,43.5,2019/12/28(01:00)
2019,12,27,124854,93985,78548,15437,19.7,2019/12/27(10:00)
2019,12,26,124854,92905,79431,13474,17,2019/12/26(11:00)
2019,12,25,124854,92654,65610,27044,41.2,2019/12/25(19:00)
2019,12,24,124854,92536,79456,13080,16.5,2019/12/24(10:00)
2019,12,23,124854,91375,78779,12596,16,2019/12/23(10:00)
2019,12,22,124854,89528,62827,26701,42.5,2019/12/22(19:00)
2019,12,21,124854,88121,66564,21557,32.4,2019/12/21(11:00)
2019,12,20,124854,90896,79158,11738,14.8,2019/12/20(10:00)
2019,12,19,124854,91402,77689,13713,17.7,2019/12/19(10:00)
2019,12,18,124854,91281,77666,13615,17.5,2019/12/18(10:00)
2019,12,17,124833,90041,77487,12554,16.2,2019/12/17(10:00)
2019,12,16,124833,90759,76425,14334,18.8,2019/12/16(10:00)
2019,12,15,124833,89090,61405,27685,45.1,2019/12/15(19:00)
2019,12,14,124833,89108,64861,24247,37.4,2019/12/14(01:00)
2019,12,13,124833,93576,79110,14466,18.3,2019/12/13(10:00)
2019,12,12,124833,92176,78241,13935,17.8,2019/12/12(09:00)
2019,12,11,124833,89968,76860,13108,17.1,2019/12/11(10:00)
2019,12,10,124833,90073,79201,10872,13.7,2019/12/10(10:00)
2019,12,09,124833,91032,80600,10432,12.9,2019/12/09(10:00)
2019,12,08,124833,88512,64092,24420,38.1,2019/12/08(19:00)
2019,12,07,124833,88596,67883,20713,30.5,2019/12/07(01:00)
2019,12,06,124833,92934,81787,11147,13.6,2019/12/06(10:00)
2019,12,05,124833,90748,80251,10497,13.1,2019/12/05(18:00)
2019,12,04,124833,88239,76624,11615,15.2,2019/12/04(10:00)
2019,12,03,124392,89791,77950,11841,15.2,2019/12/03(17:00)
2019,12,02,124392,89693,76453,13240,17.3,2019/12/02(18:00)
2019,12,01,124392,85920,60978,24942,40.9,2019/12/01(19:00)
2019,11,30,124392,88910,62203,26707,42.9,2019/11/30(01:00)
2019,11,29,124392,89896,73720,16176,21.9,2019/11/29(09:00)
2019,11,28,124392,87908,73693,14215,19.3,2019/11/28(10:00)
2019,11,27,124392,87376,73684,13692,18.6,2019/11/27(17:00)
2019,11,26,124392,89075,72776,16299,22.4,2019/11/26(10:00)
2019,11,25,124392,89691,74250,15441,20.8,2019/11/25(17:00)
2019,11,24,124392,83730,57696,26034,45.1,2019/11/24(19:00)
2019,11,23,124392,83834,60030,23804,39.7,2019/11/23(01:00)
2019,11,22,124392,88001,71571,16430,23,2019/11/22(09:00)
2019,11,21,124392,88463,74041,14422,19.5,2019/11/21(09:00)
2019,11,20,124392,86728,74148,12580,17,2019/11/20(09:00)
2019,11,19,124392,87377,74393,12984,17.5,2019/11/19(17:00)
2019,11,18,124392,88940,71848,17092,23.8,2019/11/18(17:00)
2019,11,17,124392,85545,58646,26899,45.9,2019/11/17(19:00)
2019,11,16,124392,85664,60421,25243,41.8,2019/11/16(01:00)
2019,11,15,124392,86729,70876,15853,22.4,2019/11/15(10:00)
2019,11,14,124392,87748,72026,15722,21.8,2019/11/14(18:00)
2019,11,13,124392,85826,71244,14582,20.5,2019/11/13(17:00)
2019,11,12,124023,86750,68342,18408,26.9,2019/11/12(18:00)
