Period,Region,Nuclear,"Bituminous
coal","Anthracite
coal",Oil,LNG,Pumped-Storage,New&Renewable energy,,,,,,,,Others*,Total
,,,,,,,,"Fuel
Cell",IGCC,"Solar
Power","Wind
Power","Hydro
Power*","Marine
Energy*","Bio
Energy*","Waste
Energy",,
2020/11,Total,23250,36453.382,400,2100.7169999999996,41169.767,4700,607.2039999999998,346.33,13747.65158400265,1621.503,1805.4114000000002,255.5,1316.9379999999999,0,422.6940000000001,128197.09798400263
2020/10,Total,23250,36453.382,400,2100.7169999999996,41169.767,4700,607.2039999999998,346.33,13747.65158400265,1621.503,1805.4114000000002,255.5,1316.9379999999999,0,422.6940000000001,128197.09798400263
2020/09,Total,23250,36453.382,400,2100.7169999999996,41169.767,4700,606.2039999999998,346.33,13422.310105002462,1621.503,1805.5114,255.5,1217.238,0,1213.1939999999997,128561.65650500245
2020/08,Total,23250,36453.382,400,2100.7169999999996,41169.767,4700,561.824,346.33,13132.397375002263,1578.303,1805.5114,255.5,1110.7450000000003,0,1213.1939999999997,128077.67077500223
2020/07,Total,23250,36453.382,400,2100.7169999999996,41169.767,4700,535.4739999999999,346.33,12903.198350002152,1575.402,1805.2244,255.5,1110.5580000000002,0,1213.1939999999997,127818.74675000212
2020/06,Total,23250,36453.382,600,2100.7169999999996,41169.767,4700,535.4739999999999,346.33,12444.67328700215,1563.852,1805.2244,255.5,909.713,0,1203.2939999999996,127337.92668700212
2020/05,Total,23250,36453.382,600,2100.7169999999996,41169.767,4700,534.476,346.33,11908.334163002248,1562.442,1805.2244,255.5,908.311,0,1203.2939999999996,126797.77756300222
2020/04,Total,23250,36453.382,600,2100.7169999999996,41169.767,4700,489.63599999999997,346.33,11445.020799002015,1562.442,1803.0404,255.5,898.9060000000001,0,1187.2939999999996,126262.03519900198
2020/03,Total,23250,36441.782,600,2112.3169999999996,41169.767,4700,489.696,346.33,11110.148206002428,1511.5614,1803.1034,255.5,899.5560000000002,0,1197.5919999999996,125887.3530060024
2020/02,Total,23250,36441.782,600,2112.3169999999996,41169.767,4700,489.696,346.33,11110.148206002428,1511.5614,1803.1034,255.5,899.5560000000002,0,1197.5919999999996,125887.3530060024
2020/01,Total,23250,36441.782,600,2112.3169999999996,41169.767,4700,468.10600000000005,346.33,10621.584698002278,1511.5614,1803.1034,255.5,899.6510000000002,0,1178.3919999999996,125358.09449800225
2019/12,Total,23250,36391.782,600,3771.04,39655.399999999994,4700,464.14600000000013,346.33,10505.101538002278,1512.2214,1808.1034,255.5,899.6510000000002,0,1178.3919999999996,125337.66733800224
2019/11,Total,23250,36391.782,600,3874.893,39529.755999999994,4700,446.2110000000002,346.33,9677.79467600187,1487.0004,1796.1334000000002,255.5,887.5763600000001,0,1149.2019999999998,124392.17883600184
2019/10,Total,23250,36391.782,600,3874.893,39160.583,4700,446.2110000000002,346.33,9677.79467600187,1487.0004,1796.1334000000002,255.5,887.5763600000001,0,1149.2019999999998,124023.00583600186
